GeographyKey;ContinentName;RegionCountryName
653;"North America";"United States"
658;"North America";"United States"
660;"North America";"United States"
667;"North America";"United States"
670;"North America";"United States"
677;"North America";"United States"
678;"North America";"United States"
686;"North America";"United States"
688;"North America";"United States"
689;"North America";"United States"
690;"North America";"United States"
691;"North America";"United States"
693;"North America";"United States"
694;"North America";"United States"
703;"North America";"United States"
707;"North America";"United States"
782;"North America";"United States"
783;"North America";"United States"
784;"North America";"United States"
785;"North America";"United States"
786;"North America";"United States"
787;"North America";"United States"
788;"North America";"United States"
789;"North America";"United States"
790;"North America";"United States"
791;"North America";"United States"
792;"North America";"United States"
793;"North America";"United States"
794;"North America";"United States"
795;"North America";"United States"
796;"North America";"United States"
797;"North America";"United States"
798;"North America";"United States"
799;"North America";"United States"
800;"North America";"United States"
801;"North America";"United States"
802;"North America";"United States"
803;"North America";"United States"
804;"North America";"United States"
805;"North America";"United States"
806;"North America";"United States"
807;"North America";"United States"
808;"North America";"United States"
809;"North America";"United States"
810;"North America";"United States"
811;"North America";"United States"
812;"North America";"United States"
813;"North America";"United States"
814;"North America";"United States"
815;"North America";"United States"
816;"North America";"United States"
817;"North America";"United States"
818;"North America";"United States"
819;"North America";"United States"
820;"North America";"United States"
821;"North America";"United States"
822;"North America";"United States"
823;"North America";"United States"
824;"North America";"United States"
825;"North America";"United States"
826;"North America";"United States"
827;"North America";"United States"
828;"North America";"United States"
829;"North America";"United States"
830;"North America";"United States"
831;"North America";"United States"
832;"North America";"United States"
833;"North America";"United States"
834;"North America";"United States"
835;"North America";"United States"
836;"North America";"United States"
837;"North America";"United States"
838;"North America";"United States"
839;"North America";"United States"
840;"North America";"United States"
841;"North America";"United States"
842;"North America";"United States"
843;"North America";"United States"
844;"North America";"United States"
845;"North America";"United States"
846;"North America";"United States"
847;"North America";"United States"
848;"North America";"United States"
849;"North America";"United States"
850;"North America";"United States"
851;"North America";"United States"
852;"North America";"United States"
853;"North America";"United States"
854;"North America";"United States"
855;"North America";"United States"
856;"North America";"United States"
857;"North America";"United States"
858;"North America";"United States"
859;"North America";"United States"
860;"North America";"United States"
861;"North America";"United States"
862;"North America";"United States"
863;"North America";"United States"
864;"North America";"United States"
865;"North America";"United States"
866;"North America";"United States"
867;"North America";"United States"
868;"North America";"United States"
869;"North America";"United States"
870;"North America";"United States"
871;"North America";"United States"
872;"North America";"United States"
873;"North America";"United States"
874;"North America";"United States"
875;"North America";"United States"
876;"North America";"United States"
877;"North America";"United States"
878;"North America";"United States"
879;"North America";"United States"
880;"North America";"United States"
882;"North America";"United States"
883;"North America";"United States"
884;"North America";"United States"
885;"North America";"United States"
886;"North America";"United States"
887;"North America";"United States"
888;"North America";"United States"
889;"North America";"United States"
890;"North America";"United States"
891;"North America";"United States"
892;"North America";"United States"
893;"North America";"United States"
894;"North America";"United States"
895;"North America";"United States"
896;"North America";"United States"
897;"North America";"United States"
898;"North America";"United States"
899;"North America";"United States"
900;"North America";"United States"
901;"North America";"United States"
902;"North America";"United States"
904;"North America";"United States"
905;"North America";"United States"
906;"North America";"United States"
907;"North America";"United States"
908;"North America";"United States"
909;"North America";"United States"
910;"North America";"United States"
911;"North America";"United States"
912;"North America";"United States"
913;"North America";"United States"
914;"North America";"United States"
915;"North America";"United States"
916;"North America";"United States"
917;"North America";"United States"
918;"North America";"United States"
919;"North America";"United States"
920;"North America";"United States"
921;"North America";"United States"
922;"North America";"United States"
923;"North America";"United States"
924;"North America";"United States"
925;"North America";"United States"
926;"North America";"United States"
927;"North America";"United States"
928;"North America";"United States"
929;"North America";"United States"
930;"North America";"United States"
931;"North America";"United States"
932;"North America";"United States"
933;"North America";"United States"
934;"North America";"United States"
935;"North America";"United States"
936;"North America";"United States"
937;"North America";"United States"
938;"North America";"United States"
939;"North America";"United States"
940;"North America";"United States"
941;"North America";"United States"
943;"North America";"United States"
944;"North America";"United States"
945;"North America";"United States"
946;"North America";"United States"
947;"North America";"United States"
948;"North America";"United States"
949;"North America";"United States"
950;"North America";"United States"
951;"North America";"United States"
952;"North America";"United States"
1;"Asia";""
3;"North America";""
269;"Asia";"Armenia"
270;"Oceania";"Australia"
271;"Asia";"Bhutan"
272;"Asia";"China"
273;"Asia";"India"
274;"Asia";"Iran"
275;"Asia";"Japan"
276;"Asia";"Kyrgyzstan"
277;"Asia";"Pakistan"
278;"Asia";"Singapore"
279;"Asia";"South Korea"
280;"Asia";"Syria"
281;"Asia";"Taiwan"
282;"Asia";"Thailand"
283;"Asia";"Turkmenistan"
301;"North America";"Canada"
303;"Asia";"Turkmenistan"
304;"Asia";"Armenia"
305;"Asia";"China"
306;"Asia";"Japan"
307;"Asia";"Kyrgyzstan"
308;"Asia";"Syria"
309;"Asia";"China"
310;"Asia";"Japan"
311;"Asia";"China"
312;"Asia";"Pakistan"
313;"Asia";"Japan"
314;"Asia";"Japan"
315;"Asia";"Thailand"
316;"Asia";"India"
317;"Oceania";"Australia"
318;"Asia";"India"
319;"Oceania";"Australia"
320;"Asia";"South Korea"
321;"Asia";"China"
322;"Asia";"Singapore"
323;"Asia";"Taiwan"
324;"Asia";"Iran"
325;"Asia";"Bhutan"
326;"Asia";"Japan"
327;"Asia";"India"
328;"Asia";"China"
329;"Asia";"South Korea"
367;"North America";"Canada"
368;"North America";"Canada"
377;"North America";"Canada"
378;"North America";"Canada"
384;"Oceania";"Australia"
407;"Oceania";"Australia"
412;"Oceania";"Australia"
420;"Oceania";"Australia"
425;"Oceania";"Australia"
446;"North America";"Canada"
456;"North America";"Canada"
467;"North America";"Canada"
468;"Oceania";"Australia"
471;"Oceania";"Australia"
473;"Oceania";"Australia"
478;"Oceania";"Australia"
487;"Oceania";"Australia"
490;"North America";"Canada"
492;"Oceania";"Australia"
493;"Oceania";"Australia"
499;"North America";"Canada"
509;"Oceania";"Australia"
510;"Oceania";"Australia"
511;"North America";"Canada"
512;"Oceania";"Australia"
518;"Oceania";"Australia"
519;"Oceania";"Australia"
531;"Oceania";"Australia"
534;"Oceania";"Australia"
549;"Oceania";"Australia"
550;"North America";"Canada"
553;"Oceania";"Australia"
554;"Oceania";"Australia"
558;"Oceania";"Australia"
561;"Oceania";"Australia"
562;"North America";"Canada"
568;"Oceania";"Australia"
571;"North America";"Canada"
596;"Oceania";"Australia"
598;"North America";"Canada"
599;"Oceania";"Australia"
613;"Oceania";"Australia"
628;"Oceania";"Australia"
632;"Oceania";"Australia"
634;"Oceania";"Australia"
637;"Oceania";"Australia"
646;"Oceania";"Australia"
647;"North America";"Canada"
648;"Oceania";"Australia"
655;"Oceania";"Australia"
656;"Oceania";"Australia"
665;"North America";"Canada"
668;"North America";"Canada"
669;"Oceania";"Australia"
671;"North America";"Canada"
675;"North America";"Canada"
679;"Oceania";"Australia"
680;"Oceania";"Australia"
682;"North America";"Canada"
692;"Oceania";"Australia"
695;"North America";"Canada"
697;"Oceania";"Australia"
699;"Oceania";"Australia"
701;"North America";"Canada"
706;"Oceania";"Australia"
708;"Asia";"Turkmenistan"
709;"Asia";"Thailand"
710;"Asia";"China"
711;"Asia";"Kyrgyzstan"
712;"Asia";"South Korea"
713;"Oceania";"Australia"
714;"Asia";"Syria"
715;"Asia";"China"
716;"Asia";"China"
717;"Asia";"Pakistan"
718;"Asia";"India"
719;"Asia";"Japan"
720;"Asia";"Japan"
721;"Asia";"India"
722;"Asia";"Japan"
723;"Asia";"India"
724;"Asia";"Japan"
725;"Asia";"Japan"
726;"Asia";"South Korea"
727;"Asia";"China"
728;"Asia";"Singapore"
729;"Asia";"Taiwan"
730;"Asia";"Iran"
731;"Asia";"Bhutan"
732;"Asia";"Japan"
733;"Asia";"China"
734;"Asia";"Armenia"
735;"Asia";"Japan"
881;"North America";"Canada"
903;"North America";"Canada"
942;"North America";"Canada"
2;"Europe";""
284;"Europe";"Denmark"
286;"Europe";"Germany"
287;"Europe";"Greece"
288;"Europe";"the Netherlands"
289;"Europe";"Ireland"
290;"Europe";"Italy"
291;"Europe";"Malta"
292;"Europe";"Poland"
293;"Europe";"Portugal"
294;"Europe";"Romania"
295;"Europe";"Russia"
296;"Europe";"Slovenia"
297;"Europe";"Spain"
298;"Europe";"Sweden"
299;"Europe";"Switzerland"
300;"Europe";"United Kingdom"
332;"Europe";"Germany"
333;"Europe";"Germany"
334;"Europe";"Germany"
335;"Europe";"Switzerland"
336;"Europe";"Romania"
337;"Europe";"Greece"
338;"Europe";"United Kingdom"
339;"Europe";"Germany"
341;"Europe";"Ireland"
342;"Europe";"Portugal"
343;"Europe";"Slovenia"
344;"Europe";"Italy"
345;"Europe";"Spain"
347;"Europe";"Russia"
348;"Europe";"Russia"
349;"Europe";"the Netherlands"
350;"Europe";"Germany"
351;"Europe";"Germany"
352;"Europe";"Russia"
355;"Europe";"Italy"
356;"Europe";"Italy"
357;"Europe";"Germany"
359;"Europe";"Italy"
360;"Europe";"United Kingdom"
361;"Europe";"Denmark"
362;"Europe";"Sweden"
363;"Europe";"Malta"
364;"Europe";"Italy"
365;"Europe";"Poland"
385;"Europe";"Germany"
388;"Europe";"Germany"
404;"Europe";"Germany"
419;"Europe";"Germany"
423;"Europe";"United Kingdom"
426;"Europe";"United Kingdom"
437;"Europe";"Germany"
439;"Europe";"United Kingdom"
447;"Europe";"United Kingdom"
449;"Europe";"United Kingdom"
474;"Europe";"Germany"
480;"Europe";"Germany"
481;"Europe";"United Kingdom"
482;"Europe";"Germany"
483;"Europe";"Germany"
485;"Europe";"United Kingdom"
486;"Europe";"United Kingdom"
491;"Europe";"Germany"
496;"Europe";"Germany"
497;"Europe";"United Kingdom"
498;"Europe";"United Kingdom"
501;"Europe";"United Kingdom"
506;"Europe";"United Kingdom"
513;"Europe";"Germany"
515;"Europe";"Germany"
517;"Europe";"Germany"
521;"Europe";"Germany"
525;"Europe";"United Kingdom"
532;"Europe";"United Kingdom"
533;"Europe";"Germany"
541;"Europe";"United Kingdom"
542;"Europe";"Germany"
555;"Europe";"Germany"
556;"Europe";"Germany"
565;"Europe";"United Kingdom"
567;"Europe";"United Kingdom"
569;"Europe";"Germany"
572;"Europe";"United Kingdom"
574;"Europe";"United Kingdom"
576;"Europe";"United Kingdom"
585;"Europe";"United Kingdom"
586;"Europe";"Germany"
587;"Europe";"United Kingdom"
588;"Europe";"United Kingdom"
590;"Europe";"Germany"
595;"Europe";"Germany"
608;"Europe";"United Kingdom"
623;"Europe";"Germany"
626;"Europe";"Germany"
629;"Europe";"Germany"
635;"Europe";"Germany"
638;"Europe";"United Kingdom"
639;"Europe";"Germany"
640;"Europe";"Germany"
641;"Europe";"Germany"
649;"Europe";"Germany"
651;"Europe";"United Kingdom"
654;"Europe";"United Kingdom"
659;"Europe";"United Kingdom"
662;"Europe";"Germany"
664;"Europe";"Germany"
666;"Europe";"United Kingdom"
673;"Europe";"United Kingdom"
674;"Europe";"Germany"
676;"Europe";"United Kingdom"
683;"Europe";"Germany"
687;"Europe";"Germany"
696;"Europe";"Germany"
698;"Europe";"United Kingdom"
704;"Europe";"United Kingdom"
705;"Europe";"United Kingdom"
736;"Europe";"the Netherlands"
737;"Europe";"Greece"
738;"Europe";"United Kingdom"
739;"Europe";"Germany"
740;"Europe";"Switzerland"
741;"Europe";"Romania"
742;"Europe";"United Kingdom"
743;"Europe";"United Kingdom"
745;"Europe";"Denmark"
746;"Europe";"Ireland"
747;"Europe";"Germany"
748;"Europe";"United Kingdom"
749;"Europe";"Italy"
750;"Europe";"Germany"
751;"Europe";"United Kingdom"
752;"Europe";"Germany"
753;"Europe";"United Kingdom"
754;"Europe";"Germany"
755;"Europe";"United Kingdom"
756;"Europe";"Germany"
757;"Europe";"Portugal"
758;"Europe";"Slovenia"
760;"Europe";"Spain"
761;"Europe";"United Kingdom"
763;"Europe";"Italy"
764;"Europe";"Russia"
765;"Europe";"Germany"
768;"Europe";"Russia"
769;"Europe";"Germany"
770;"Europe";"Germany"
771;"Europe";"Italy"
772;"Europe";"Russia"
773;"Europe";"Sweden"
774;"Europe";"United Kingdom"
776;"Europe";"Italy"
778;"Europe";"Malta"
779;"Europe";"Italy"
780;"Europe";"Poland"
781;"Europe";"United Kingdom"
285;"Europe";"France"
330;"Europe";"France"
331;"Europe";"France"
340;"Europe";"France"
346;"Europe";"France"
353;"Europe";"France"
354;"Europe";"France"
358;"Europe";"France"
387;"Europe";"France"
389;"Europe";"France"
391;"Europe";"France"
393;"Europe";"France"
395;"Europe";"France"
398;"Europe";"France"
399;"Europe";"France"
400;"Europe";"France"
402;"Europe";"France"
403;"Europe";"France"
405;"Europe";"France"
410;"Europe";"France"
413;"Europe";"France"
414;"Europe";"France"
416;"Europe";"France"
418;"Europe";"France"
435;"Europe";"France"
454;"Europe";"France"
459;"Europe";"France"
476;"Europe";"France"
503;"Europe";"France"
504;"Europe";"France"
524;"Europe";"France"
528;"Europe";"France"
529;"Europe";"France"
530;"Europe";"France"
539;"Europe";"France"
540;"Europe";"France"
543;"Europe";"France"
544;"Europe";"France"
545;"Europe";"France"
548;"Europe";"France"
557;"Europe";"France"
563;"Europe";"France"
564;"Europe";"France"
591;"Europe";"France"
592;"Europe";"France"
615;"Europe";"France"
616;"Europe";"France"
621;"Europe";"France"
622;"Europe";"France"
624;"Europe";"France"
650;"Europe";"France"
657;"Europe";"France"
661;"Europe";"France"
672;"Europe";"France"
681;"Europe";"France"
684;"Europe";"France"
685;"Europe";"France"
700;"Europe";"France"
702;"Europe";"France"
759;"Europe";"France"
762;"Europe";"France"
766;"Europe";"France"
767;"Europe";"France"
775;"Europe";"France"
777;"Europe";"France"
